Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
.{191}(.{16})(.{16})==;1;226;226;3;191;223;223;0,025422;17;95;150;Text generated.
.{191}(.{16})(.{16})==;1;226;226;3;191;223;223;0,025422;17;95;150;TIMEOUT.
\$?([\w\d]{40})(~|=)([\w\d]{1,19}) ([\w-]+)==;2;107;107;2;40;59;40;0,001852;18;74;133113;Text generated.
(.)(.{11})(.{20})(.{32})==;1;67;67;3;32;63;52;0,001548;17;95;133145;Text generated.
(\d{3,})\s?(\w{0,5})\s([a-zA-Z]{2,30})\s([a-zA-Z]{2,15})\.?\s?(\w{0,5})==;41;212;210;5;30;58;8;0,000659;38;263;133239;Text generated.
.{84}.*\\x20[wW]\x20[iI]\x20[nN]\x20[rR]\x20[eE]\x20[gG]\x20==;1;104;104;1;84;84;84;0,005166;38;109;133477;Text generated.
/(.*)/(objects/pack/pack-[0-9a-f]{40}\.pack)$==;ERROR WHILE CONVERTING TO DCA.
\-{54}.+\-{54}==;2;166;166;2;54;108;108;0,008802;9;23;133573;Text generated.
(.)(.{11})(.{52})==;1;67;67;2;52;63;52;0,001548;9;31;133594;Text generated.
T([A-z0-9]){8}\/B([A-z0-9]){8}\/([A-z0-9]){24}\/?$==;ERROR WHILE CONVERTING TO DCA.
\d+:[0-9a-fA-F]{32}==;3;69;69;1;32;32;1;6,5E-05;10;35;133633;Text generated.
foo:.*(?:bar ){30,}==;1;128;128;1;30;30;30;0,00186;30;112;133655;Text generated.
APA91([0-9a-zA-Z-_]){178}==;68;10001;16844;1;178;178;4;0,043137;12;50;133681;Text generated.
\s{230,}\.htr==;1;238;238;1;230;230;230;0,026795;16;47;163109;Text generated.
.{31}[sS]\x20[pP]\x20_\x20[sS]\x20[tT]\x20[aA]\x20[rR]\x20[tT]\x20_\x20[jJ]\x20[oO]\x20[bB]\x20==;1;58;58;1;31;31;31;0,001302;30;87;163154;Text generated.
([0-9A-Za-z\-_]{1,12}) \u0022b\u0022f #([0-9A-Za-z\-_\@]{8,10})==;11;87;87;2;12;22;12;0,000366;24;85;163192;Text generated.
([0-9a-f]{16})[0-9a-f]{48}==;1;67;67;2;48;64;64;0,00208;5;14;163214;Text generated.
(.{60,75},)==;15;118;118;1;75;75;75;0,005726;7;16;163231;Text generated.
.{84}.*\[wW][iI][nN][rR][eE][gG]\x20==;1;98;98;1;84;84;84;0,004662;26;73;163264;Text generated.
[ =]{25}={50}[ =]{25}==;326;3678;3678;3;50;100;100;0,143725;17;102;163293;Text generated.
(.{1,980}[,])\s+(\S)==;1351;6235;6839;1;980;980;980;3,364758;13;36;170349;TIMEOUT.
_.{39}==;1;0;22883;1;39;39;39;0,792058;8;28;230384;Text generated.
_.{39}==;1;0;24436;1;39;39;39;0,843896;8;28;230384;TIMEOUT.
(__.{38})==;1;0;12828;1;38;38;38;0,38099;10;43;290381;Text generated.
(__.{38})==;1;10001;25044;1;38;38;38;0,72091;10;43;290381;Text generated.
5[0-9a-zA-Z]{50}==;1;10001;18179;1;50;50;50;0,83196;4;10;324519;Text generated.
=.{32}==$;128;10001;19001;1;32;32;32;0,314499;5;16;368333;Text generated.
0x[a-zA-Z0-9]{64}==;119;10001;18245;1;64;64;6;0,070041;6;20;391398;Text generated.
([A-Za-z_][A-Za-z0-9_]{2,30}|(__.*__))==$;1;10001;184;1;30;30;30;0,003976;13;47;422115;Text generated.
[a-z_][a-z0-9_]{2,30}==$;1;10001;16789;1;30;30;30;0,428789;4;10;422955;Text generated.
https?:\/\/(www\.)?[-a-zA-Z0-9@:%_\+.~#?&\/\/=]{2,256}\.[a-z]{2,4}[\s](\/[-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)?==;TIMEOUT.
[A-Z]+ [0-9A-Za-z/\s]{2,45} - [A-Z][a-z]+ 20[0-9]{2}.*==;125;4026;7254;2;45;47;4;0,019242;41;180;526346;TIMEOUT.
0x[a-zA-Z0-9]{40}==;55;3195;5677;1;40;40;4;0,018193;6;20;579791;TIMEOUT.
