Regex;Lines;Visited;Cache Size(Found);Max CS;Status
    _secure_another_setting: ([A-Za-z0-9\+/]{342}==)$;1;374;374;1;Text generated.
    _secure_setting:       ([A-Za-z0-9\+/]{342}==)$;1;372;372;1;Text generated.
  _secure_another\+_setting: ([A-Za-z0-9\+/]{342}==)$;1;373;373;1;Text generated.
  hanami generate secret     # Prints secret (eg. `[a-z0-9A-Z_]{64}`);2;116;117;1;Text generated.
  hanami generate secret web # Prints session secret (eg. `WEB_SESSIONS_SECRET=[a-z0-9A-Z_]{64}`);2;144;145;1;Text generated.
 ?< ?(ref) [a-zA-Z0-9=\" ]{2,100}\/ ?> ?;2;110;211;1;Text generated.
 ?< ?(span|div|table|data) [a-zA-Z0-9=\" ]{2,100}\/? ?> ?;2;12;20;1;Text generated.
 {2,999};1;3;3;2;Text generated.
 {70} *;1;71;71;70;Text generated.
((([0-9]|[a-f]){32}-)*([0-9]|[a-f]){32}\.vurl\.)|(\/vurl\/([0-9]|[a-f]){32}(-([0-9]|[a-f]){32})*);2;104;106;32;Text generated.
